404020	00000000
404024	77073096
404028	EE0E612C
40402c	990951BA
404030	076DC419
404034	706AF48F
404038	E963A535
40403c	9E6495A3
404040	0EDB8832
404044	79DCB8A4
404048	E0D5E91E
40404c	97D2D988
404050	09B64C2B
404054	7EB17CBD
404058	E7B82D07
40405c	90BF1D91
404060	1DB71064
404064	6AB020F2
404068	F3B97148
40406c	84BE41DE
404070	1ADAD47D
404074	6DDDE4EB
404078	F4D4B551
40407c	83D385C7
404080	136C9856
404084	646BA8C0
404088	FD62F97A
40408c	8A65C9EC
404090	14015C4F
404094	63066CD9
404098	FA0F3D63
40409c	8D080DF5
4040a0	3B6E20C8
4040a4	4C69105E
4040a8	D56041E4
4040ac	A2677172
4040b0	3C03E4D1
4040b4	4B04D447
4040b8	D20D85FD
4040bc	A50AB56B
4040c0	35B5A8FA
4040c4	42B2986C
4040c8	DBBBC9D6
4040cc	ACBCF940
4040d0	32D86CE3
4040d4	45DF5C75
4040d8	DCD60DCF
4040dc	ABD13D59
4040e0	26D930AC
4040e4	51DE003A
4040e8	C8D75180
4040ec	BFD06116
4040f0	21B4F4B5
4040f4	56B3C423
4040f8	CFBA9599
4040fc	B8BDA50F
404100	2802B89E
404104	5F058808
404108	C60CD9B2
40410c	B10BE924
404110	2F6F7C87
404114	58684C11
404118	C1611DAB
40411c	B6662D3D
404120	76DC4190
404124	01DB7106
404128	98D220BC
40412c	EFD5102A
404130	71B18589
404134	06B6B51F
404138	9FBFE4A5
40413c	E8B8D433
404140	7807C9A2
404144	0F00F934
404148	9609A88E
40414c	E10E9818
404150	7F6A0DBB
404154	086D3D2D
404158	91646C97
40415c	E6635C01
404160	6B6B51F4
404164	1C6C6162
404168	856530D8
40416c	F262004E
404170	6C0695ED
404174	1B01A57B
404178	8208F4C1
40417c	F50FC457
404180	65B0D9C6
404184	12B7E950
404188	8BBEB8EA
40418c	FCB9887C
404190	62DD1DDF
404194	15DA2D49
404198	8CD37CF3
40419c	FBD44C65
4041a0	4DB26158
4041a4	3AB551CE
4041a8	A3BC0074
4041ac	D4BB30E2
4041b0	4ADFA541
4041b4	3DD895D7
4041b8	A4D1C46D
4041bc	D3D6F4FB
4041c0	4369E96A
4041c4	346ED9FC
4041c8	AD678846
4041cc	DA60B8D0
4041d0	44042D73
4041d4	33031DE5
4041d8	AA0A4C5F
4041dc	DD0D7CC9
4041e0	5005713C
4041e4	270241AA
4041e8	BE0B1010
4041ec	C90C2086
4041f0	5768B525
4041f4	206F85B3
4041f8	B966D409
4041fc	CE61E49F
404200	5EDEF90E
404204	29D9C998
404208	B0D09822
40420c	C7D7A8B4
404210	59B33D17
404214	2EB40D81
404218	B7BD5C3B
40421c	C0BA6CAD
404220	EDB88320
404224	9ABFB3B6
404228	03B6E20C
40422c	74B1D29A
404230	EAD54739
404234	9DD277AF
404238	04DB2615
40423c	73DC1683
404240	E3630B12
404244	94643B84
404248	0D6D6A3E
40424c	7A6A5AA8
404250	E40ECF0B
404254	9309FF9D
404258	0A00AE27
40425c	7D079EB1
404260	F00F9344
404264	8708A3D2
404268	1E01F268
40426c	6906C2FE
404270	F762575D
404274	806567CB
404278	196C3671
40427c	6E6B06E7
404280	FED41B76
404284	89D32BE0
404288	10DA7A5A
40428c	67DD4ACC
404290	F9B9DF6F
404294	8EBEEFF9
404298	17B7BE43
40429c	60B08ED5
4042a0	D6D6A3E8
4042a4	A1D1937E
4042a8	38D8C2C4
4042ac	4FDFF252
4042b0	D1BB67F1
4042b4	A6BC5767
4042b8	3FB506DD
4042bc	48B2364B
4042c0	D80D2BDA
4042c4	AF0A1B4C
4042c8	36034AF6
4042cc	41047A60
4042d0	DF60EFC3
4042d4	A867DF55
4042d8	316E8EEF
4042dc	4669BE79
4042e0	CB61B38C
4042e4	BC66831A
4042e8	256FD2A0
4042ec	5268E236
4042f0	CC0C7795
4042f4	BB0B4703
4042f8	220216B9
4042fc	5505262F
404300	C5BA3BBE
404304	B2BD0B28
404308	2BB45A92
40430c	5CB36A04
404310	C2D7FFA7
404314	B5D0CF31
404318	2CD99E8B
40431c	5BDEAE1D
404320	9B64C2B0
404324	EC63F226
404328	756AA39C
40432c	026D930A
404330	9C0906A9
404334	EB0E363F
404338	72076785
40433c	05005713
404340	95BF4A82
404344	E2B87A14
404348	7BB12BAE
40434c	0CB61B38
404350	92D28E9B
404354	E5D5BE0D
404358	7CDCEFB7
40435c	0BDBDF21
404360	86D3D2D4
404364	F1D4E242
404368	68DDB3F8
40436c	1FDA836E
404370	81BE16CD
404374	F6B9265B
404378	6FB077E1
40437c	18B74777
404380	88085AE6
404384	FF0F6A70
404388	66063BCA
40438c	11010B5C
404390	8F659EFF
404394	F862AE69
404398	616BFFD3
40439c	166CCF45
4043a0	A00AE278
4043a4	D70DD2EE
4043a8	4E048354
4043ac	3903B3C2
4043b0	A7672661
4043b4	D06016F7
4043b8	4969474D
4043bc	3E6E77DB
4043c0	AED16A4A
4043c4	D9D65ADC
4043c8	40DF0B66
4043cc	37D83BF0
4043d0	A9BCAE53
4043d4	DEBB9EC5
4043d8	47B2CF7F
4043dc	30B5FFE9
4043e0	BDBDF21C
4043e4	CABAC28A
4043e8	53B39330
4043ec	24B4A3A6
4043f0	BAD03605
4043f4	CDD70693
4043f8	54DE5729
4043fc	23D967BF
404400	B3667A2E
404404	C4614AB8
404408	5D681B02
40440c	2A6F2B94
404410	B40BBE37
404414	C30C8EA1
404418	5A05DF1B
40441c	2D02EF8D
